,id,date,fav,followers,f/fo,content,buz_factor
43,1245864337333350401,2020-04-03 00:02:59,294,13046,0.022535643108998926,一位よっしゃー #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/HEcaUN4TwR,0.5744846885754372
18,1246432927451197440,2020-04-04 13:42:22,336,8287,0.040545432605285384,#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/8exe0mBzgf,0.6318973618809476
23,1246377615323086849,2020-04-04 10:02:34,364,4016,0.09063745019920319,Lol! #Splatoon2 #NintendoSwitch https://t.co/EyxsVPA365,0.6622357568870765
35,1246008245837131777,2020-04-03 09:34:50,376,928,0.4051724137931034,"へ～これが新しいスペシャルかぁ
#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/YcTdMwhRJe",0.6683130914331215
50,1245630354553102338,2020-04-02 08:33:13,381,185,2.0594594594594593,"新ギア対抗戦ガチキャリー！
 #Splatoon2 #スプラトゥーン2 #NintendoSwitch　#スシコラのチョコさん https://t.co/Kl8eivWUL1",0.6734682706292228
76,1244901586154876928,2020-03-31 08:17:21,387,390,0.9923076923076923,"遂に、29達成！！！！！！！！！！！！！！！！！！！味方に感謝！！！！！！！！！！！！！！！！！！！！
 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/D0JsfuatCZ",0.685115785961428
81,1244851818888228869,2020-03-31 04:59:36,429,923,0.4647887323943662,"プライムシューターベッチュー2900!!!!!!!!
嬉しすぎ!!
ありがとう！！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/p5ySnWN6g9",0.7624883646902463
70,1244993802135195648,2020-03-31 14:23:47,429,1643,0.26110772976262936,エリアクアッド歴代最高値更新！！！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/SQ4q1UdZP8,0.7666047801253404
37,1245952381545660416,2020-04-03 05:52:51,406,13046,0.031120650007665184,デュアル練習した　2800うれしい #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/E4BeqtwJNW,0.7933359985089371
39,1245919636031303682,2020-04-03 03:42:43,215,72351,0.002971624441956573,#Splatoon2 #NintendoSwitch https://t.co/uKMN38rnP8,0.8177484231699382
44,1245778283683131392,2020-04-02 18:21:02,362,38090,0.009503806773431347,二人とも「あっ」っていってそう...!! #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/3Iqzlj9LFu,0.8901403304067154
24,1246360060940312576,2020-04-04 08:52:49,587,237,2.476793248945148,we exploring #Splatoon2 #NintendoSwitch https://t.co/dpNpLfELtd,1.0380010647078741
14,1246470589520334849,2020-04-04 16:12:01,588,228,2.5789473684210527,みんなたのむ。これだけでもいいから見てください。 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/HpGiVcOjrU,1.0396999496098935
33,1246066098618826753,2020-04-03 13:24:43,595,14487,0.04107130530820736,"キル集漁ってたら昔のチャージャー練習してた頃出てきた。(諦めた)
 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/luYRFq8Nyl",1.1765485250908323
73,1244967042848980994,2020-03-31 12:37:28,698,810,0.8617283950617284,こちら心理学部 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/JsDwNtos0y,1.2395541625984698
45,1245727281470820352,2020-04-02 14:58:23,491,73895,0.006644563231612423,"3週間ぶりにスプラやったんだけど、腕前落ちるどころか逆に冴えててビビったわ。
#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/1ZS6RB2uu0",1.9146900974253316
63,1245304620936605696,2020-04-01 10:58:52,1103,1676,0.6581145584725537,"🔫スシ3種🍣

モデリング+物理演算
いっぱい見て...！🙏
#ブキのある生活 #Splatoon2 #blender #3DCG #Splattershot https://t.co/CxveJipsJK",1.9715019806181007
15,1246450775775006721,2020-04-04 14:53:17,1269,367,3.457765667574932,200 iq #Splatoon2 #NintendoSwitch https://t.co/Bh8m5g1Bry,2.246158700212107
38,1245949741759737856,2020-04-03 05:42:21,1167,13046,0.08945270581021003,デュアルの才能あり #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/cZCU5ew4eL,2.2803524883249495
85,1244744880598835200,2020-03-30 21:54:40,1433,12042,0.11900016608536788,29洗濯機の仲間入り!!味方共闘せんきゅー!!! #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/eyGSvnuzbn,2.777261995593246
51,1245601900092743681,2020-04-02 06:40:09,1731,16586,0.10436512721572411,"アジフライのホコ持ち下手な人が多すぎて試合にならないので解説動画出しますたぶん
 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/ry68Fde0Oc",3.4835350907777043
42,1245870585697021952,2020-04-03 00:27:49,1875,13046,0.1437222137053503,きもちいい #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/AkdrWsfoRx,3.6638054118331453
21,1246392066701172738,2020-04-04 11:00:00,2145,1676,1.279832935560859,"🎥スシコラのプロモ映像

#blender #Splatoon2 #3DCG #Splattershot https://t.co/QEAzjvKvEJ",3.833972573368836
26,1246288593489805312,2020-04-04 04:08:50,2442,657,3.7168949771689497,#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/IsejKysdno,4.331725128496984
6,1246754456458244096,2020-04-05 11:00:00,2549,1676,1.5208830548926013,"🔫男性ってこういうのが好きなんでしょ？

#blender #Splatoon2 #3DCG #Splattershot #motiontracking https://t.co/kveecFy5Zk",4.556082093014995
69,1245152772862783489,2020-04-01 00:55:29,11801,1202,9.817803660565724,"#Splatoon2 
これはぜひみてほしいwwww https://t.co/ot2Y91l8YF",21.018384748081903
